,die1,die2
0,6,2
1,1,1
2,3,2
3,3,5
4,6,2
5,1,5
6,3,5
7,3,5
8,4,1
9,6,6
10,2,6
11,1,3
12,6,1
13,2,3
14,3,1
15,1,4
16,3,6
17,2,1
18,6,5
19,4,3
20,4,3
21,2,3
22,2,1
23,2,2
24,2,4
25,1,5
26,3,4
27,4,1
28,3,6
29,3,2
30,3,6
31,4,1
32,6,5
33,4,4
34,4,4
35,1,2
36,6,1
37,4,3
38,6,1
39,5,4
40,1,5
41,1,2
42,2,6
43,6,5
44,3,4
45,4,5
46,1,5
47,1,4
48,4,6
49,5,3
50,2,4
51,2,5
52,4,6
53,1,3
54,1,6
55,1,4
56,5,5
57,1,3
58,2,3
59,1,1
60,2,5
61,4,2
62,4,3
63,5,1
64,4,3
65,2,2
66,4,3
67,3,2
68,5,5
69,4,4
70,1,6
71,1,2
72,6,6
73,2,3
74,1,3
75,6,6
76,5,6
77,3,4
78,1,4
79,5,2
80,5,1
81,4,5
82,5,4
83,5,1
84,3,4
85,4,4
86,2,6
87,2,5
88,1,4
89,5,1
90,3,5
91,3,2
92,2,1
93,2,4
94,2,3
95,4,3
96,2,5
97,5,5
98,3,6
99,3,2
100,6,6
101,3,2
102,2,1
103,5,6
104,6,4
105,5,5
106,3,3
107,2,4
108,5,1
109,5,6
110,4,1
111,6,3
112,6,5
113,2,2
114,6,5
115,4,2
116,6,2
117,4,6
118,1,6
119,6,3
120,5,1
121,6,1
122,6,1
123,3,2
124,2,1
125,4,1
126,5,4
127,5,2
128,4,1
129,5,4
130,6,2
131,6,4
132,5,5
133,4,2
134,4,5
135,1,2
136,2,4
137,2,4
138,3,3
139,3,3
140,1,4
141,2,2
142,3,2
143,1,1
144,6,6
145,1,2
146,6,3
147,4,1
148,6,6
149,6,6
150,1,2
151,6,6
152,4,6
153,5,3
154,2,5
155,2,5
156,2,2
157,3,3
158,1,5
159,2,2
160,2,1
161,4,4
162,1,1
163,3,1
164,5,2
165,1,3
166,2,3
167,2,6
168,5,6
169,4,6
170,5,3
171,4,4
172,2,6
173,4,1
174,6,4
175,3,3
176,5,5
177,3,1
178,3,6
179,3,5
180,3,1
181,5,3
182,2,1
183,5,4
184,2,1
185,6,2
186,1,3
187,5,4
188,6,1
189,1,4
190,2,6
191,4,1
192,3,5
193,1,4
194,6,5
195,2,4
196,2,1
197,1,6
198,3,1
199,5,2
200,6,4
201,6,4
202,2,3
203,5,6
204,2,4
205,4,2
206,4,6
207,2,5
208,5,5
209,1,6
210,6,2
211,1,5
212,6,1
213,6,4
214,2,1
215,1,6
216,6,5
217,4,2
218,2,5
219,2,6
220,3,5
221,2,1
222,4,4
223,5,1
224,1,1
225,5,6
226,5,3
227,3,1
228,5,1
229,5,4
230,6,6
231,2,6
232,3,6
233,5,1
234,5,6
235,6,4
236,3,6
